,0,1,2,3,4,5
89,Grange Cricket Club,Edinburgh,Scotland,,22 ODIs,13 T20s
90,Greater Noida Sports Complex Ground,Greater Noida,India,,5 ODIs,6 T20s
91,Green Park,Kanpur,India,23 Tests,15 ODIs,1 T20
92,Greenfield International Stadium,Thiruvananthapuram,India,,1 ODI,3 T20s
93,Gucherre Cricket Ground,Albergaria,Portugal,,,6 T20s
94,Gymkhana Club Ground,Nairobi,Kenya,,63 ODIs,10 T20s
95,Gymkhana Ground,Mumbai (Bombay),India,1 Test,,
96,Hagley Oval,Christchurch,New Zealand,11 Tests,16 ODIs,9 T20s
97,Happy Valley Ground,Episkopi,Cyprus,,,8 T20s
98,Harare Sports Club,Harare,Zimbabwe,39 Tests,164 ODIs,35 T20s
99,Harrup Park,Mackay,Australia,,1 ODI,
100,Hazelaarweg,Rotterdam,Netherlands,,15 ODIs,6 T20s
101,Headingley,Leeds,England,80 Tests,46 ODIs,1 T20
102,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,1 Test,4 ODIs,10 T20s
103,Holkar Cricket Stadium,Indore,India,2 Tests,5 ODIs,3 T20s
104,Ibn-e-Qasim Bagh Stadium,Multan,Pakistan,1 Test,6 ODIs,
105,ICC Academy Ground No 2,Dubai,United Arab Emirates,,,3 T20s
106,ICC Global Cricket Academy,Dubai,United Arab Emirates,,30 ODIs,37 T20s
107,Independence Park,Port Vila,Vanuatu,,,12 T20s
108,Indian Association Ground,Singapore,Singapore,,,19 T20s
109,Indian Sports Club,Blantyre,Malawi,,,2 T20s
110,Indira Gandhi Stadium,Vijayawada,India,,1 ODI,
111,Indira Priyadarshini Stadium,Visakhapatnam,India,,5 ODIs,
112,Integrated Polytechnic Regional Centre,Kigali,Rwanda,,,44 T20s
113,Iqbal Stadium,Faisalabad (Lyallpur),Pakistan,24 Tests,16 ODIs,
114,Jaffrey Sports Club Ground,Nairobi,Kenya,,5 ODIs,
115,Jawaharlal Nehru Stadium (Delhi),"New Delhi, Delhi",India,,2 ODIs,
116,Jimmy Powell Oval,George Town,Cayman Islands,,,2 T20s
117,Jinnah Stadium (Gujwranwala),Gujwranwala,Pakistan,1 Test,11 ODIs,
118,Jinnah Stadium (Sialkot),Sialkot,Pakistan,4 Tests,9 ODIs,
119,JSCA International Stadium Complex,Ranchi,India,2 Tests,6 ODIs,3 T20s
120,Kallang Ground,Singapore,Singapore,,9 ODIs,
121,"KD Singh ""Babu"" Stadium",Lucknow,India,1 Test,1 ODI,
122,Keenan Stadium,Jamshedpur,India,,10 ODIs,
123,Kennington Oval,London,England,104 Tests,75 ODIs,16 T20s
124,Kensington Oval,"Bridgetown, Barbados",West Indies,55 Tests,45 ODIs,23 T20s
125,Kerava National Cricket Ground,Kerava,Finland,,,33 T20s
126,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh,2 Tests,10 ODIs,4 T20s
127,King George V Sports Ground,Castel,Guernsey,,,15 T20s
128,Kingsmead,Durban,South Africa,45 Tests,47 ODIs,15 T20s
129,Kinrara Academy Oval,Kuala Lumpur,Malaysia,,10 ODIs,18 T20s
130,Kwekwe Sports Club,Kwekwe,Zimbabwe,,1 ODI,
131,Kyambogo Cricket Oval,Kampala,Uganda,,,7 T20s
132,La Manga Club Bottom Ground,Cartagena,Spain,,,8 T20s
133,Lal Bahadur Shastri Stadium,Hyderabad (Deccan),India,3 Tests,14 ODIs,
134,Lavington Sports Oval,Albury,Australia,,1 ODI,
135,Lilongwe Golf Club,Lilongwe,Malawi,,,4 T20s
136,Lima Cricket and Football Club,Lima,Peru,,,1 T20
137,Lisicji Jarak Cricket Ground,Belgrade,Serbia,,,3 T20s
138,Lord's,London,England,143 Tests,68 ODIs,10 T20s
139,Lord's (SAF),Durban,South Africa,4 Tests,,
140,Lugogo Cricket Oval,Kampala,Uganda,,,3 T20s
141,M Chinnaswamy Stadium,"Bengaluru, Bangalore",India,24 Tests,26 ODIs,8 T20s
142,MA Aziz Stadium,Chittagong,Bangladesh,8 Tests,10 ODIs,
143,MA Chidambaram Stadium,Chennai,India,34 Tests,22 ODIs,2 T20s
144,Madhavrao Scindia Cricket Ground,Rajkot,India,,12 ODIs,
145,Maharashtra Cricket Association Stadium,Pune,India,2 Tests,7 ODIs,3 T20s
146,Mahinda Rajapaksha International Cricket Stadium,Hambantota,Sri Lanka,,21 ODIs,7 T20s
147,Malkerns Country Club Oval,Malkerns,Eswatini,,,6 T20s
148,Mangaung Oval,Bloemfontein,South Africa,5 Tests,30 ODIs,2 T20s
149,Mannofield Park,Aberdeen,Scotland,,22 ODIs,2 T20s
150,Manuka Oval,Canberra,Australia,1 Test,10 ODIs,5 T20s
151,Maple Leaf North - West Ground,"King City, Ontario",Canada,,12 ODIs,8 T20s
152,Marina Ground,Corfu,Greece,,,4 T20s
153,Marrara Cricket Ground,Darwin,Australia,2 Tests,4 ODIs,
154,Marsa Sports Club,Marsa,Malta,,,34 T20s
155,McLean Park,Napier,New Zealand,10 Tests,44 ODIs,5 T20s
156,Meersen,Gent,Belgium,,,8 T20s
157,Melbourne Cricket Ground,Melbourne,Australia,115 Tests,150 ODIs,19 T20s
158,Mindoo Philip Park,"Castries, St. Lucia",West Indies,,2 ODIs,
159,Mission Road,Mong Kok,Hong Kong,,4 ODIs,2 T20s
160,Moara Vlasiei Cricket Ground,Ilfov,Romania,,,26 T20s
161,Moin-ul-Haq Stadium,Patna,India,,3 ODIs,
162,Mombasa Sports Ground,Mombasa,Kenya,,13 ODIs,3 T20s
163,Moses Mabhida Stadium,Durban,South Africa,,,1 T20
164,Moti Bagh Stadium,Vadodara (Baroda),India,,3 ODIs,
165,Multan Cricket Stadium,Multan,Pakistan,6 Tests,10 ODIs,
166,Nahar Singh Stadium,Faridabad,India,,8 ODIs,
167,Nairobi Club Ground,Nairobi,Kenya,,1 ODI,
168,Narendra Modi Stadium,Ahmedabad,India,14 Tests,26 ODIs,6 T20s
169,National Cricket Stadium (Grenada),"St. George's, Grenada",West Indies,4 Tests,24 ODIs,6 T20s
170,National Cricket Stadium (Tangier),Tangier,Morocco,,7 ODIs,
171,National Sports Academy,Sofia,Bulgaria,,,16 T20s
172,National Stadium (Hamilton),Hamilton,Bermuda,,,2 T20s
173,National Stadium (Karachi),Karachi,Pakistan,46 Tests,48 ODIs,11 T20s
174,Nehru Stadium (Chennai),Chennai (Madras),India,9 Tests,,
175,Nehru Stadium (Guwahati),Guwahati,India,,14 ODIs,
176,Nehru Stadium (Indore),Indore,India,,9 ODIs,
177,Nehru Stadium (Kochi),Kochi,India,,9 ODIs,
178,Nehru Stadium (Margao),Margao,India,,7 ODIs,
179,Nehru Stadium (Pune),Pune,India,,11 ODIs,
180,Nevill Ground,Tunbridge Wells,England,,1 ODI,
181,New Road,Worcester,England,,3 ODIs,
182,Newlands,Cape Town,South Africa,59 Tests,44 ODIs,21 T20s
183,Niaz Stadium,Hyderabad (Sind),Pakistan,5 Tests,7 ODIs,
184,North Marine Road Ground,Scarborough,England,,2 ODIs,
185,North Tasmania Cricket Association Ground,Launceston,Australia,,1 ODI,
186,Old Hararians Sports Club,Harare,Zimbabwe,,5 ODIs,
187,Old Trafford,Manchester,England,83 Tests,57 ODIs,11 T20s
188,Old Wanderers,Johannesburg,South Africa,22 Tests,,
189,Owen Delany Park,Taupo,New Zealand,,3 ODIs,
190,P Sara Oval,Colombo,Sri Lanka,22 Tests,12 ODIs,2 T20s
191,Padang Cricket Ground,Singapore,Singapore,,5 ODIs,
192,Pallekele International Cricket Stadium,"Pallekele, Kandy",Sri Lanka,9 Tests,33 ODIs,23 T20s
193,Perth Stadium,Perth,Australia,3 Tests,2 ODIs,7 T20s
194,Peshawar Club Ground,Peshawar,Pakistan,1 Test,,
195,Pierre Werner Cricket Ground,Walferdange,Luxembourg,,,8 T20s
196,Pindi Club Ground,Rawalpindi,Pakistan,1 Test,2 ODIs,
197,Providence Stadium,"Providence, Guyana",West Indies,2 Tests,25 ODIs,11 T20s
198,Pukekura Park,New Plymouth,New Zealand,,1 ODI,
199,Punjab Cricket Association IS Bindra Stadium,"Mohali, Chandigarh",India,14 Tests,25 ODIs,6 T20s
200,Queen's Park (Old),"St. George's, Grenada",West Indies,,1 ODI,
201,Queen's Park Oval,"Port-Of-Spain, Trinidad",West Indies,61 Tests,73 ODIs,6 T20s
202,Queens Sports Club,Bulawayo,Zimbabwe,23 Tests,80 ODIs,19 T20s
203,Queenstown Events Centre,Queenstown,New Zealand,,9 ODIs,
